Name,log(MBh/Msol),E_log(MBh/Msol)_upper,E_log(MBh/Msol)_lower,psi_deg,E_psi_upper,E_psi_lower,ref
NGC4232,8.264,0.176,0.301,25,15,15,"2,4"
NGC4257,7.454,0.176,0.301,15,15,15,"2,4"
NGC4258,7.58,0.03,0.03,25,15,15,"1,4"
NGC4260,8.319,0.176,0.301,15,15,15,"2,4"
NGC4290,8.1,0.176,0.301,15,15,15,"2,4"
NGC4303,6.51,0.74,0.74,24.94,12.62,12.62,"1,3"
NGC4305,7.476,0.176,0.301,15,5,15,"2,4"
NGC4314,6.91,0.3,0.3,34.68,18.17,18.17,"1,3"
NGC4319,7.576,0.176,0.301,20.11,10.83,10.83,"2,3"
NGC4321,6.67,0.17,0.17,25,15,15,"1,4"
NGC4321,6.67,0.17,0.17,26.04,8.08,8.08,"1,3"
NGC4332,8.046,0.176,0.301,25,15,15,"2,4"
NGC4380,7.494,0.176,0.301,5,25,5,"2,4"
NGC4384,7.503,0.176,0.301,25,15,15,"2,4"
NGC4388,6.86,0.04,0.04,15,15,15,"1,4"
NGC4405,7.589,0.176,0.301,5,25,5,"2,4"
NGC4407,4.954,0.176,0.301,15,15,15,"2,4"
NGC4412,7.716,0.176,0.301,22.35,12.2,12.2,"2,3"
NGC4413,4.954,0.176,0.301,11.27,0.4,0.4,"2,3"
NGC4419,7.748,0.176,0.301,5,25,5,"2,4"
NGC4430,7.439,0.176,0.301,25,5,15,"2,4"
NGC4430,7.439,0.176,0.301,15.44,4.69,4.69,"2,3"
NGC4440,7.255,0.176,0.301,25,15,15,"2,4"
NGC4501,7.3,0.08,0.08,15,15,15,"1,4"
NGC4501,7.3,0.08,0.08,22.34,9.22,9.22,"1,3"
NGC4548,7.25,0.29,0.29,25,15,15,"1,4"
NGC4548,7.25,0.29,0.29,11.29,3.29,3.29,"1,3"
NGC4579,7.96,0.36,0.36,15,15,15,"1,4"
NGC4580,7.375,0.176,0.301,15,15,5,"2,4"
NGC4596,8.414,0.176,0.301,5,15,5,"2,4"
NGC4617,8.26,0.176,0.301,15,15,15,"2,4"
NGC4619,8.581,0.176,0.301,25,15,15,"2,4"
NGC4644,7.999,0.176,0.301,25,15,15,"2,4"
NGC4675,7.974,0.176,0.301,15,25,15,"2,4"
NGC4691,7.531,0.176,0.301,15,15,15,"2,4"
NGC4711,7.907,0.176,0.301,15,15,15,"2,4"
NGC4746,7.558,0.176,0.301,15,15,15,"2,4"
NGC4754,8.067,0.176,0.301,5,15,5,"2,4"
NGC4800,8.21,0.176,0.301,5,15,5,"2,4"
NGC4800,8.21,0.176,0.301,21.27,5.27,5.27,"2,3"
NGC4814,8.037,0.176,0.301,15,5,15,"2,4"
NGC4814,8.037,0.176,0.301,19.06,7.11,7.11,"2,3"
NGC4843,8.45,0.176,0.301,15,15,15,"2,4"
NGC4845,7.919,0.176,0.301,25,15,15,"2,4"
NGC4868,8.388,0.176,0.301,25,15,15,"2,4"
NGC4902,8.366,0.176,0.301,23.84,9.38,9.38,"2,3"
NGC4935,8.288,0.176,0.301,15,15,15,"2,4"
NGC4995,8.25,0.176,0.301,18.23,7.62,7.62,"2,3"
NGC4999,8.781,0.176,0.301,15,15,15,"2,4"
NGC5005,8.27,0.23,0.23,5,15,5,"1,4"
NGC5025,8.235,0.176,0.301,15,15,15,"2,4"
NGC5027,8.242,0.176,0.301,25,5,15,"2,4"
NGC5052,8.276,0.176,0.301,5,15,5,"2,4"
NGC5055,8.92,0.1,0.1,15,15,15,"1,4"
NGC5055,8.92,0.1,0.1,11.63,6.46,6.46,"1,3"
NGC5081,8.473,0.176,0.301,15,15,15,"2,4"
NGC5093,8.56,0.176,0.301,5,15,5,"2,4"
NGC5157,8.577,0.176,0.301,15,15,15,"2,4"
NGC5164,8.272,0.176,0.301,25,15,5,"2,4"
NGC5183,8.129,0.176,0.301,25,15,15,"2,4"
NGC5185,8.496,0.176,0.301,25,15,15,"2,4"
NGC5194,5.96,0.36,0.36,25,15,15,"1,4"
NGC5194,5.96,0.36,0.36,16.99,4.13,4.13,"1,3"
NGC5221,8.523,0.176,0.301,15,25,15,"2,4"
NGC5227,8.07,0.176,0.301,25,15,15,"2,4"
NGC5248,6.3,0.38,0.38,25,15,15,"1,4"
NGC5248,6.3,0.38,0.38,34.09,12.13,12.13,"1,3"
NGC5267,8.467,0.176,0.301,15,15,15,"2,4"
NGC5305,8.162,0.176,0.301,25,5,15,"2,4"
NGC5313,8.136,0.176,0.301,15,15,15,"2,4"
NGC5313,8.136,0.176,0.301,32.46,9.98,9.98,"2,3"
NGC5327,8.175,0.176,0.301,25,5,15,"2,4"
NGC5335,8.155,0.176,0.301,25,15,5,"2,4"
NGC5339,7.851,0.176,0.301,14.97,5.03,5.03,"2,3"
NGC5345,8.772,0.176,0.301,15,15,15,"2,4"
NGC5347,7.734,0.176,0.301,15,15,15,"2,4"
NGC5349,8.119,0.176,0.301,25,15,15,"2,4"
NGC5351,8.19,0.176,0.301,15,15,15,"2,4"
NGC5362,7.538,0.176,0.301,25,15,15,"2,4"
NGC5368,8.113,0.176,0.301,5,15,5,"2,4"
NGC5375,7.913,0.176,0.301,15,5,15,"2,4"
NGC5375,7.913,0.176,0.301,23.42,10.32,10.32,"2,3"
NGC5376,8.431,0.176,0.301,15,15,15,"2,4"
NGC5376,8.431,0.176,0.301,10.48,1.47,1.47,"2,3"
NGC5379,7.142,0.176,0.301,25,15,15,"2,4"
NGC5386,7.929,0.176,0.301,15,15,15,"2,4"
NGC5395,8.514,0.176,0.301,15,15,5,"2,4"
NGC5427,7.58,0.3,0.3,21.17,11.8,11.8,"1,3"
NGC5440,8.484,0.176,0.301,5,15,5,"2,4"
NGC5443,7.751,0.176,0.301,5,25,5,"2,4"
NGC5448,8.148,0.176,0.301,25,15,15,"2,4"
NGC5457,6.41,0.08,0.08,15,15,5,"1,4"
NGC5457,6.41,0.08,0.08,20.11,7.14,7.14,"1,3"
NGC5533,8.509,0.176,0.301,5,15,5,"2,4"
NGC5536,8.154,0.176,0.301,25,15,15,"2,4"
NGC5559,8.174,0.176,0.301,15,15,15,"2,4"
NGC5566,8.255,0.176,0.301,35,5,15,"2,4"
NGC5587,7.706,0.176,0.301,5,15,5,"2,4"
NGC5588,7.703,0.176,0.301,15,15,15,"2,4"
NGC5599,8.387,0.176,0.301,15,15,15,"2,4"
NGC5604,7.849,0.176,0.301,25,15,15,"2,4"
NGC5614,8.624,0.176,0.301,5,25,5,"2,4"
NGC5622,7.806,0.176,0.301,5,15,5,"2,4"
NGC5633,7.754,0.176,0.301,15,15,5,"2,4"
NGC5641,8.455,0.176,0.301,5,15,5,"2,4"
NGC5656,8.41,0.176,0.301,15,15,15,"2,4"
NGC5659,8.002,0.176,0.301,15,15,15,"2,4"
NGC5678,8.173,0.176,0.301,15,15,15,"2,4"
NGC5698,7.872,0.176,0.301,15,15,15,"2,4"
NGC5701,7.954,0.176,0.301,15,15,15,"2,4"
NGC5703,7.789,0.176,0.301,25,15,15,"2,4"
NGC5740,7.999,0.176,0.301,15,5,15,"2,4"
NGC5754,8.16,0.176,0.301,15,15,15,"2,4"
NGC5772,8.856,0.176,0.301,5,15,5,"2,4"
NGC5792,8.338,0.176,0.301,15,15,15,"2,4"
NGC5804,7.988,0.176,0.301,25,15,15,"2,4"
NGC5806,7.863,0.176,0.301,15,15,15,"2,4"
NGC5827,8.445,0.176,0.301,15,15,15,"2,4"
NGC5850,8.429,0.176,0.301,15,15,5,"2,4"
NGC5875,8.177,0.176,0.301,15,5,15,"2,4"
NGC5876,8.078,0.176,0.301,5,15,5,"2,4"
NGC5893,8.175,0.176,0.301,25,15,15,"2,4"
NGC5905,8.11,0.176,0.301,25,15,15,"2,4"
NGC5913,7.813,0.176,0.301,15,15,15,"2,4"
NGC5915,7.7,0.176,0.301,25.14,11.75,11.75,"2,3"
NGC5921,7.07,0.42,0.42,22.42,6.37,6.37,"1,3"
NGC5930,8.115,0.176,0.301,25,15,15,"2,4"
NGC5937,8.134,0.176,0.301,25,15,15,"2,4"
NGC5937,8.134,0.176,0.301,25.36,4.21,4.21,"2,3"
NGC5945,8.548,0.176,0.301,25,15,15,"2,4"
NGC5957,7.581,0.176,0.301,26.99,10.56,10.56,"2,3"
NGC5985,8.396,0.176,0.301,14.2,4.86,4.86,"2,3"
NGC5990,8.369,0.176,0.301,25,15,15,"2,4"
NGC6008,8.119,0.176,0.301,25,5,15,"2,4"
NGC6013,7.92,0.176,0.301,25,15,5,"2,4"
NGC6028,7.851,0.176,0.301,15,15,15,"2,4"
NGC6032,7.931,0.176,0.301,15,15,15,"2,4"
NGC6036,8.56,0.176,0.301,5,15,5,"2,4"
NGC6100,7.892,0.176,0.301,15,15,15,"2,4"
NGC6154,8.337,0.176,0.301,5,15,5,"2,4"
NGC6186,7.95,0.176,0.301,15,15,15,"2,4"
NGC6372,8.145,0.176,0.301,25,15,15,"2,4"
NGC6385,7.804,0.176,0.301,5,15,5,"2,4"
NGC6923,8.104,0.176,0.301,27.6,4.88,4.88,"2,3"
NGC6962,8.59,0.176,0.301,5,15,5,"2,4"
NGC7001,8.667,0.176,0.301,5,15,5,"2,4"
NGC7047,8.302,0.176,0.301,25,15,15,"2,4"
NGC7065,8.516,0.176,0.301,5,15,5,"2,4"
NGC7163,7.832,0.176,0.301,5.74,2.35,2.35,"2,3"
NGC7171,8.174,0.176,0.301,12.23,4.33,4.33,"2,3"
NGC7364,8.438,0.176,0.301,5,15,5,"2,4"
NGC7371,8.015,0.176,0.301,6.28,0.84,0.84,"2,3"
NGC7397,7.899,0.176,0.301,15,15,15,"2,4"
NGC7398,7.999,0.176,0.301,15,15,15,"2,4"
NGC7418,5.18,1.78,1.78,23.54,4.95,4.95,"1,3"
NGC7424,5.18,0.43,0.43,15.55,1.23,1.23,"1,3"
NGC7428,7.994,0.176,0.301,15,15,5,"2,4"
NGC7570,8.146,0.176,0.301,25,15,15,"2,4"
NGC7653,8.214,0.176,0.301,25,5,15,"2,4"
NGC7716,7.954,0.176,0.301,5,15,5,"2,4"
NGC7723,8.05,0.176,0.301,21.16,9.96,9.96,"2,3"
NGC7724,7.377,0.176,0.301,11.78,3.34,3.34,"2,3"
NGC7738,8.559,0.176,0.301,25,15,5,"2,4"
NGC7743,7.781,0.176,0.301,23.08,9.03,9.03,"2,3"
PGC047721,8.732,0.176,0.301,11.31,7.15,7.15,"2,3"
UGC00615,8.131,0.176,0.301,15,15,15,"2,4"
UGC00892,8.277,0.176,0.301,25,15,15,"2,4"
UGC01271,8.199,0.176,0.301,25,15,15,"2,4"
UGC02018,8.338,0.176,0.301,15,15,15,"2,4"
UGC02024,8.174,0.176,0.301,15,15,15,"2,4"
UGC02311,8.434,0.176,0.301,25,15,15,"2,4"
UGC02403,8.137,0.176,0.301,25,15,15,"2,4"
UGC02585,8.41,0.176,0.301,15,15,15,"2,4"
UGC03904,8.225,0.176,0.301,5,15,5,"2,4"
UGC04072,8.193,0.176,0.301,25,15,15,"2,4"
UGC04145,8.26,0.176,0.301,15,15,15,"2,4"
UGC04245,8.017,0.176,0.301,25,15,15,"2,4"
UGC04324,7.903,0.176,0.301,15,15,15,"2,4"
UGC04515,8.038,0.176,0.301,15,15,15,"2,4"
UGC05184,8.209,0.176,0.301,25,15,15,"2,4"
UGC05199,8.021,0.176,0.301,15,15,15,"2,4"
UGC05382,8.301,0.176,0.301,5,15,5,"2,4"
UGC05607,8.197,0.176,0.301,25,15,15,"2,4"
UGC05839,8.377,0.176,0.301,5,15,5,"2,4"
UGC05868,8.339,0.176,0.301,15,15,15,"2,4"
UGC05870,7.172,0.176,0.301,25,15,15,"2,4"
UGC06013,8.245,0.176,0.301,5,15,5,"2,4"
UGC06106,8.313,0.176,0.301,25,15,15,"2,4"
UGC06143,8.264,0.176,0.301,15,15,15,"2,4"
UGC06771,8.493,0.176,0.301,25,5,15,"2,4"
UGC06871,8.173,0.176,0.301,15,15,15,"2,4"
UGC07129,6.559,0.176,0.301,15,15,15,"2,4"
UGC07416,8.392,0.176,0.301,25,5,15,"2,4"
UGC08015,8.147,0.176,0.301,15,5,15,"2,4"
UGC08067,7.592,0.176,0.301,25,15,15,"2,4"
UGC08229,8.226,0.176,0.301,25,15,5,"2,4"
UGC08237,7.749,0.176,0.301,15,15,15,"2,4"
UGC08484,8.402,0.176,0.301,15,15,5,"2,4"
UGC08498,8.582,0.176,0.301,15,25,15,"2,4"
UGC08827,8.213,0.176,0.301,25,15,5,"2,4"
UGC08878,8.203,0.176,0.301,35,5,15,"2,4"
UGC08923,8.093,0.176,0.301,25,15,15,"2,4"
UGC08939,8.284,0.176,0.301,5,15,5,"2,4"
UGC08980,8.08,0.176,0.301,15,15,15,"2,4"
UGC09101,7.974,0.176,0.301,15,15,5,"2,4"
UGC09117,7.948,0.176,0.301,15,15,5,"2,4"
UGC09386,8.063,0.176,0.301,25,5,15,"2,4"
UGC09705,8.183,0.176,0.301,15,15,15,"2,4"
UGC09761,8.521,0.176,0.301,15,15,15,"2,4"
UGC10127,8.288,0.176,0.301,15,15,15,"2,4"
UGC10211,8.011,0.176,0.301,25,15,15,"2,4"
UGC10388,7.909,0.176,0.301,15,15,15,"2,4"
UGC10888,8.16,0.176,0.301,15,15,15,"2,4"
UGC11649,7.979,0.176,0.301,15,15,15,"2,4"
UGC11700,8.01,0.176,0.301,15,15,15,"2,4"
UGC12250,8.43,0.176,0.301,15,15,15,"2,4"
UGC6093,7.41,0.02,0.02,5,25,5,"1,4"
ref_key:1_bosch;2_caramete;3_garcia;4_efigi,,,,,,,
